gene_id,disease_id
5837,OMIM:232600
2917,OMIM:618922
4361,OMIM:604391
1000,OMIM:618929
23746,OMIM:604393
55764,OMIM:218330
717,OMIM:217000
25,OMIM:617602
79415,OMIM:618935
56479,OMIM:617601
23152,OMIM:617600
149461,OMIM:248190
80736,OMIM:617606
23312,OMIM:617605
29980,OMIM:617604
9863,OMIM:617609
401138,OMIM:617607
27031,OMIM:604387
84172,OMIM:618939
60,OMIM:243310
9997,OMIM:604377
200879,OMIM:604379
10755,OMIM:618940
81689,OMIM:617613
2517,OMIM:230000
1861,OMIM:618947
55329,OMIM:618948
199221,OMIM:617610
80232,OMIM:617616
3570,OMIM:618944
1890,OMIM:603041
5428,OMIM:603041
672,OMIM:604370
1180,OMIM:255300
5468,OMIM:604367
26503,OMIM:604369
55617,OMIM:618950
6182,OMIM:618951
28957,OMIM:618958
80210,OMIM:617622
4190,OMIM:618959
2625,OMIM:146255
51649,OMIM:618952
5978,OMIM:617626
9371,OMIM:618955
9681,OMIM:604364
10137,OMIM:617629
8292,OMIM:603034
113246,OMIM:218340
80208,OMIM:604360
1123,OMIM:604356
2623,OMIM:159595
51,OMIM:618960
5331,OMIM:618961
153241,OMIM:616300
10020,OMIM:269921
26503,OMIM:269920
10274,OMIM:617635
4038,OMIM:616304
10625,OMIM:618969
7515,OMIM:617633
5726,OMIM:171200
3458,OMIM:618963
84433,OMIM:617638
57728,OMIM:616307
64787,OMIM:617637
84059,OMIM:604352
8864,OMIM:604348
5631,OMIM:304500
5205,OMIM:243300
1832,OMIM:605676
9699,OMIM:618970
55553,OMIM:618971
1468,OMIM:618972
8884,OMIM:618973
23288,OMIM:617642
1804,OMIM:616311
